student_id,topic,difficulty,score,attempts,time_spent,next_topic,next_action,next_difficulty_adj
S003,Optimization,Intermediate,51,4,59,Optimization,Continue,Same
S003,Optimization,Intermediate,48,4,59,Optimization,Revision,Decrease
S003,Optimization,Beginner,82,4,35,Optimization,Continue,Increase
S003,Optimization,Intermediate,66,2,39,Optimization,Continue,Same
S003,Optimization,Intermediate,92,4,34,Optimization,Continue,Increase
S003,Optimization,Advanced,45,2,16,Optimization,Revision,Decrease
S003,Optimization,Intermediate,54,2,54,Optimization,Continue,Same
S003,Optimization,Intermediate,84,4,59,Optimization,Continue,Increase
S003,Optimization,Advanced,48,4,57,Optimization,Revision,Decrease
S003,Optimization,Intermediate,50,2,18,Optimization,Continue,Same
S003,Optimization,Intermediate,77,2,10,Optimization,Continue,Same
S004,Optimization,Beginner,12,2,9,Optimization,Revision,Same
S004,Optimization,Beginner,15,3,22,Optimization,Revision,Same
S004,Optimization,Beginner,50,1,39,Optimization,Continue,Same
S004,Optimization,Beginner,35,4,41,Optimization,Revision,Same
S004,Optimization,Beginner,71,4,51,Optimization,Continue,Same
S004,Optimization,Beginner,64,4,59,Optimization,Continue,Same
S004,Optimization,Beginner,47,4,58,Optimization,Revision,Same
S004,Optimization,Beginner,67,2,47,Optimization,Continue,Same
S004,Optimization,Beginner,57,2,46,Optimization,Continue,Same
S004,Optimization,Beginner,99,1,60,Optimization,Continue,Increase
S004,Optimization,Intermediate,69,1,14,Optimization,Continue,Same
S004,Optimization,Intermediate,57,4,56,Optimization,Continue,Same
S004,Optimization,Intermediate,66,3,52,Optimization,Continue,Same
S004,Optimization,Intermediate,64,1,37,Optimization,Continue,Same
S004,Optimization,Intermediate,63,2,28,Optimization,Continue,Same
S004,Optimization,Intermediate,85,1,44,Optimization,Continue,Increase
S004,Optimization,Advanced,51,3,27,Optimization,Continue,Same
S004,Optimization,Advanced,30,2,9,Optimization,Revision,Decrease
S004,Optimization,Intermediate,86,2,46,Optimization,Continue,Increase
S004,Optimization,Advanced,69,4,56,Optimization,Continue,Same
S005,Optimization,Beginner,26,3,22,Optimization,Revision,Same
S005,Optimization,Beginner,45,3,19,Optimization,Revision,Same
S005,Optimization,Beginner,66,1,47,Optimization,Continue,Same
S005,Optimization,Beginner,30,3,32,Optimization,Revision,Same
S005,Optimization,Beginner,45,3,26,Optimization,Revision,Same
S005,Optimization,Beginner,44,3,38,Optimization,Revision,Same
S005,Optimization,Beginner,56,2,20,Optimization,Continue,Same
S005,Optimization,Beginner,63,3,36,Optimization,Continue,Same
S005,Optimization,Beginner,73,4,26,Optimization,Continue,Same
S005,Optimization,Beginner,72,2,48,Optimization,Continue,Same
S005,Optimization,Beginner,90,3,17,Optimization,Continue,Increase
S005,Optimization,Intermediate,77,1,36,Optimization,Continue,Same
S005,Optimization,Intermediate,100,3,16,Optimization,Continue,Increase
S005,Optimization,Advanced,59,3,7,Optimization,Continue,Same
S005,Optimization,Advanced,42,3,39,Optimization,Revision,Decrease
S005,Optimization,Intermediate,80,3,20,Optimization,Continue,Same
S005,Optimization,Intermediate,40,3,41,Optimization,Revision,Decrease
S005,Optimization,Beginner,86,3,12,Optimization,Continue,Increase
S005,Optimization,Intermediate,80,4,59,Optimization,Continue,Same
S005,Optimization,Intermediate,66,3,44,Optimization,Continue,Same
S006,Optimization,Beginner,12,4,30,Optimization,Revision,Same
S006,Optimization,Beginner,30,2,28,Optimization,Revision,Same
S006,Optimization,Beginner,17,4,52,Optimization,Revision,Same
S006,Optimization,Beginner,35,1,19,Optimization,Revision,Same
S006,Optimization,Beginner,52,1,32,Optimization,Continue,Same
S006,Optimization,Beginner,54,3,48,Optimization,Continue,Same
S006,Optimization,Beginner,80,1,31,Optimization,Continue,Same
S006,Optimization,Beginner,68,3,35,Optimization,Continue,Same
S006,Optimization,Beginner,48,1,35,Optimization,Revision,Same
S006,Optimization,Beginner,87,1,15,Optimization,Continue,Increase
S006,Optimization,Intermediate,67,3,8,Optimization,Continue,Same
S006,Optimization,Intermediate,71,1,22,Optimization,Continue,Same
S006,Optimization,Intermediate,61,3,51,Optimization,Continue,Same
S006,Optimization,Intermediate,68,1,23,Optimization,Continue,Same
S006,Optimization,Intermediate,49,1,56,Optimization,Revision,Decrease
S006,Optimization,Beginner,95,3,49,Optimization,Continue,Increase
S006,Optimization,Intermediate,42,2,11,Optimization,Revision,Decrease
S006,Optimization,Beginner,86,4,16,Optimization,Continue,Increase
S006,Optimization,Intermediate,71,4,50,Optimization,Continue,Same
S006,Optimization,Intermediate,49,4,6,Optimization,Revision,Decrease
S007,Optimization,Beginner,34,2,13,Optimization,Revision,Same
S007,Optimization,Beginner,20,1,52,Optimization,Revision,Same
S007,Optimization,Beginner,39,2,12,Optimization,Revision,Same
S007,Optimization,Beginner,57,4,39,Optimization,Continue,Same
S007,Optimization,Beginner,74,2,58,Optimization,Continue,Same
S007,Optimization,Beginner,33,4,40,Optimization,Revision,Same
S007,Optimization,Beginner,69,1,11,Optimization,Continue,Same
S007,Optimization,Beginner,62,2,50,Optimization,Continue,Same
S007,Optimization,Beginner,63,1,43,Optimization,Continue,Same
S007,Optimization,Beginner,89,4,58,Optimization,Continue,Increase
S007,Optimization,Intermediate,74,3,38,Optimization,Continue,Same
S007,Optimization,Intermediate,26,4,19,Optimization,Revision,Decrease
S007,Optimization,Beginner,92,3,32,Optimization,Continue,Increase
S007,Optimization,Intermediate,65,4,40,Optimization,Continue,Same
S007,Optimization,Intermediate,97,4,8,Optimization,Continue,Increase
S007,Optimization,Advanced,55,2,29,Optimization,Continue,Same
S007,Optimization,Advanced,32,1,54,Optimization,Revision,Decrease
S007,Optimization,Intermediate,72,4,32,Optimization,Continue,Same
S007,Optimization,Intermediate,70,1,27,Optimization,Continue,Same
S007,Optimization,Intermediate,48,2,19,Optimization,Revision,Decrease
S008,Optimization,Beginner,29,2,35,Optimization,Revision,Same
S008,Optimization,Beginner,36,1,17,Optimization,Revision,Same
S008,Optimization,Beginner,36,3,24,Optimization,Revision,Same
S008,Optimization,Beginner,46,4,7,Optimization,Revision,Same
S008,Optimization,Beginner,67,1,6,Optimization,Continue,Same
S008,Optimization,Beginner,51,2,50,Optimization,Continue,Same
S008,Optimization,Beginner,52,4,32,Optimization,Continue,Same
S008,Optimization,Beginner,50,3,12,Optimization,Continue,Same
S008,Optimization,Beginner,87,4,36,Optimization,Continue,Increase
S008,Optimization,Intermediate,60,4,11,Optimization,Continue,Same
S008,Optimization,Intermediate,41,2,24,Optimization,Revision,Decrease
S008,Optimization,Beginner,71,3,6,Optimization,Continue,Same
S008,Optimization,Beginner,84,1,46,Optimization,Continue,Increase
S008,Optimization,Intermediate,91,1,50,Optimization,Continue,Increase
S008,Optimization,Advanced,46,4,37,Optimization,Revision,Decrease
S008,Optimization,Intermediate,54,3,55,Optimization,Continue,Same
S008,Optimization,Intermediate,60,4,34,Optimization,Continue,Same
S008,Optimization,Intermediate,59,3,38,Optimization,Continue,Same
S008,Optimization,Intermediate,77,1,13,Optimization,Continue,Same
S008,Optimization,Intermediate,51,4,58,Optimization,Continue,Same
S009,Optimization,Beginner,16,3,30,Optimization,Revision,Same
S009,Optimization,Beginner,41,2,5,Optimization,Revision,Same
S009,Optimization,Beginner,38,4,5,Optimization,Revision,Same
S009,Optimization,Beginner,40,2,26,Optimization,Revision,Same
S009,Optimization,Beginner,35,1,33,Optimization,Revision,Same
S009,Optimization,Beginner,61,1,20,Optimization,Continue,Same
S009,Optimization,Beginner,67,1,60,Optimization,Continue,Same
S009,Optimization,Beginner,58,3,36,Optimization,Continue,Same
S009,Optimization,Beginner,60,4,17,Optimization,Continue,Same
S009,Optimization,Beginner,52,2,37,Optimization,Continue,Same
S009,Optimization,Beginner,100,2,17,Optimization,Continue,Increase
S009,Optimization,Intermediate,83,3,56,Optimization,Continue,Increase
S009,Optimization,Advanced,61,2,42,Optimization,Continue,Same
S009,Optimization,Advanced,58,3,37,Optimization,Continue,Same
S009,Optimization,Advanced,68,3,57,Optimization,Continue,Same
S009,Optimization,Advanced,56,3,38,Optimization,Continue,Same
S009,Optimization,Advanced,52,2,55,Optimization,Continue,Same
S009,Optimization,Advanced,51,1,40,Optimization,Continue,Same
S009,Optimization,Advanced,44,4,46,Optimization,Revision,Decrease
S009,Optimization,Intermediate,84,4,57,Optimization,Continue,Increase
S010,Optimization,Beginner,26,2,59,Optimization,Revision,Same
S010,Optimization,Beginner,34,3,24,Optimization,Revision,Same
S010,Optimization,Beginner,33,4,9,Optimization,Revision,Same
S010,Optimization,Beginner,42,2,14,Optimization,Revision,Same
S010,Optimization,Beginner,42,4,49,Optimization,Revision,Same
S010,Optimization,Beginner,64,1,51,Optimization,Continue,Same
S010,Optimization,Beginner,47,2,8,Optimization,Revision,Same
S010,Optimization,Beginner,99,2,16,Optimization,Continue,Increase
S010,Optimization,Intermediate,34,3,36,Optimization,Revision,Decrease
S010,Optimization,Beginner,83,4,34,Optimization,Continue,Increase
S010,Optimization,Intermediate,62,1,58,Optimization,Continue,Same
S010,Optimization,Intermediate,87,2,27,Optimization,Continue,Increase
S010,Optimization,Advanced,54,2,25,Optimization,Continue,Same
S010,Optimization,Advanced,21,3,58,Optimization,Revision,Decrease
S010,Optimization,Intermediate,52,1,54,Optimization,Continue,Same
S010,Optimization,Intermediate,53,2,44,Optimization,Continue,Same
S010,Optimization,Intermediate,86,4,57,Optimization,Continue,Increase
S010,Optimization,Advanced,79,3,49,Optimization,Continue,Same
S010,Optimization,Advanced,30,2,60,Optimization,Revision,Decrease
S010,Optimization,Intermediate,35,3,14,Optimization,Revision,Decrease
S011,Optimization,Beginner,45,4,40,Optimization,Revision,Same
S011,Optimization,Beginner,38,1,45,Optimization,Revision,Same
S011,Optimization,Beginner,60,3,46,Optimization,Continue,Same
S011,Optimization,Beginner,45,3,25,Optimization,Revision,Same
S011,Optimization,Beginner,52,2,9,Optimization,Continue,Same
S011,Optimization,Beginner,61,2,29,Optimization,Continue,Same
S011,Optimization,Beginner,73,3,14,Optimization,Continue,Same
S011,Optimization,Beginner,52,2,41,Optimization,Continue,Same
S011,Optimization,Beginner,39,3,25,Optimization,Revision,Same
S011,Optimization,Beginner,62,1,27,Optimization,Continue,Same
S011,Optimization,Beginner,67,4,41,Optimization,Continue,Same
S011,Optimization,Beginner,71,2,60,Optimization,Continue,Same
S011,Optimization,Beginner,94,4,23,Optimization,Continue,Increase
S011,Optimization,Intermediate,71,2,51,Optimization,Continue,Same
S011,Optimization,Intermediate,90,1,52,Optimization,Continue,Increase
S011,Optimization,Advanced,58,3,37,Optimization,Continue,Same
S011,Optimization,Advanced,60,2,37,Optimization,Continue,Same
S011,Optimization,Advanced,73,3,30,Optimization,Continue,Same
S011,Optimization,Advanced,44,3,30,Optimization,Revision,Decrease
S011,Optimization,Intermediate,62,1,12,Optimization,Continue,Same
S012,Optimization,Beginner,43,1,60,Optimization,Revision,Same
S012,Optimization,Beginner,18,3,38,Optimization,Revision,Same
S012,Optimization,Beginner,53,1,57,Optimization,Continue,Same
S012,Optimization,Beginner,73,3,8,Optimization,Continue,Same
S012,Optimization,Beginner,30,4,58,Optimization,Revision,Same
S012,Optimization,Beginner,45,3,56,Optimization,Revision,Same
S012,Optimization,Beginner,59,4,59,Optimization,Continue,Same
S012,Optimization,Beginner,40,1,47,Optimization,Revision,Same
S012,Optimization,Beginner,72,3,19,Optimization,Continue,Same
S012,Optimization,Beginner,63,1,32,Optimization,Continue,Same
S012,Optimization,Beginner,56,1,6,Optimization,Continue,Same
S012,Optimization,Beginner,81,2,47,Optimization,Continue,Increase
S012,Optimization,Intermediate,71,1,12,Optimization,Continue,Same
S012,Optimization,Intermediate,43,4,57,Optimization,Revision,Decrease
S012,Optimization,Beginner,100,1,57,Optimization,Continue,Increase
S012,Optimization,Intermediate,59,4,60,Optimization,Continue,Same
S012,Optimization,Intermediate,78,2,27,Optimization,Continue,Same
S012,Optimization,Intermediate,74,2,31,Optimization,Continue,Same
S012,Optimization,Intermediate,75,2,6,Optimization,Continue,Same
S012,Optimization,Intermediate,54,1,44,Optimization,Continue,Same
S013,Optimization,Beginner,36,1,18,Optimization,Revision,Same
S013,Optimization,Beginner,47,2,25,Optimization,Revision,Same
S013,Optimization,Beginner,67,3,53,Optimization,Continue,Same
S013,Optimization,Beginner,56,3,51,Optimization,Continue,Same
S013,Optimization,Beginner,51,4,25,Optimization,Continue,Same
S013,Optimization,Beginner,97,1,17,Optimization,Continue,Increase
S013,Optimization,Intermediate,36,1,17,Optimization,Revision,Decrease
S013,Optimization,Beginner,58,2,55,Optimization,Continue,Same
S013,Optimization,Beginner,63,3,10,Optimization,Continue,Same
S013,Optimization,Beginner,75,3,38,Optimization,Continue,Same
S013,Optimization,Beginner,68,3,11,Optimization,Continue,Same
S013,Optimization,Beginner,89,1,34,Optimization,Continue,Increase
S013,Optimization,Intermediate,87,2,37,Optimization,Continue,Increase
S013,Optimization,Advanced,34,4,26,Optimization,Revision,Decrease
S013,Optimization,Intermediate,62,2,17,Optimization,Continue,Same
S013,Optimization,Intermediate,58,4,21,Optimization,Continue,Same
S013,Optimization,Intermediate,81,2,11,Optimization,Continue,Increase
S013,Optimization,Advanced,47,3,51,Optimization,Revision,Decrease
S013,Optimization,Intermediate,52,2,58,Optimization,Continue,Same
S013,Optimization,Intermediate,59,1,58,Optimization,Continue,Same
S014,Optimization,Beginner,23,2,46,Optimization,Revision,Same
S014,Optimization,Beginner,40,1,51,Optimization,Revision,Same
S014,Optimization,Beginner,30,3,17,Optimization,Revision,Same
S014,Optimization,Beginner,53,4,24,Optimization,Continue,Same
S014,Optimization,Beginner,70,1,25,Optimization,Continue,Same
S014,Optimization,Beginner,52,1,15,Optimization,Continue,Same
S014,Optimization,Beginner,57,2,14,Optimization,Continue,Same
S014,Optimization,Beginner,46,4,45,Optimization,Revision,Same
S014,Optimization,Beginner,34,2,31,Optimization,Revision,Same
S014,Optimization,Beginner,100,2,29,Optimization,Continue,Increase
S014,Optimization,Intermediate,48,1,8,Optimization,Revision,Decrease
S014,Optimization,Beginner,91,2,55,Optimization,Continue,Increase
S014,Optimization,Intermediate,75,2,50,Optimization,Continue,Same
S014,Optimization,Intermediate,78,4,45,Optimization,Continue,Same
S014,Optimization,Intermediate,76,2,27,Optimization,Continue,Same
S014,Optimization,Intermediate,92,1,17,Optimization,Continue,Increase
S014,Optimization,Advanced,49,3,6,Optimization,Revision,Decrease
S014,Optimization,Intermediate,59,3,46,Optimization,Continue,Same
S014,Optimization,Intermediate,76,2,52,Optimization,Continue,Same
S014,Optimization,Intermediate,74,3,30,Optimization,Continue,Same
S015,Optimization,Beginner,24,4,11,Optimization,Revision,Same
S015,Optimization,Beginner,57,2,19,Optimization,Continue,Same
S015,Optimization,Beginner,55,2,58,Optimization,Continue,Same
S015,Optimization,Beginner,53,1,35,Optimization,Continue,Same
S015,Optimization,Beginner,47,4,41,Optimization,Revision,Same
S015,Optimization,Beginner,54,3,20,Optimization,Continue,Same
S015,Optimization,Beginner,64,1,54,Optimization,Continue,Same
S015,Optimization,Beginner,80,3,54,Optimization,Continue,Same
S015,Optimization,Beginner,58,2,37,Optimization,Continue,Same
S015,Optimization,Beginner,95,1,14,Optimization,Continue,Increase
S015,Optimization,Intermediate,45,1,36,Optimization,Revision,Decrease
S015,Optimization,Beginner,63,3,38,Optimization,Continue,Same
S015,Optimization,Beginner,90,2,43,Optimization,Continue,Increase
S015,Optimization,Intermediate,86,2,41,Optimization,Continue,Increase
S015,Optimization,Advanced,57,3,12,Optimization,Continue,Same
S015,Optimization,Advanced,50,1,7,Optimization,Continue,Same
S015,Optimization,Advanced,60,4,18,Optimization,Continue,Same
S015,Optimization,Advanced,46,3,5,Optimization,Revision,Decrease
S015,Optimization,Intermediate,67,4,26,Optimization,Continue,Same
S015,Optimization,Intermediate,72,3,50,Optimization,Continue,Same
S016,Optimization,Beginner,27,1,24,Optimization,Revision,Same
S016,Optimization,Beginner,50,1,51,Optimization,Continue,Same
S016,Optimization,Beginner,45,4,21,Optimization,Revision,Same
S016,Optimization,Beginner,14,4,23,Optimization,Revision,Same
S016,Optimization,Beginner,75,4,14,Optimization,Continue,Same
S016,Optimization,Beginner,38,4,47,Optimization,Revision,Same
S016,Optimization,Beginner,78,4,45,Optimization,Continue,Same
S016,Optimization,Beginner,51,4,52,Optimization,Continue,Same
S016,Optimization,Beginner,64,2,20,Optimization,Continue,Same
S016,Optimization,Beginner,85,4,51,Optimization,Continue,Increase
S016,Optimization,Intermediate,49,1,6,Optimization,Revision,Decrease
S016,Optimization,Beginner,64,3,13,Optimization,Continue,Same
S016,Optimization,Beginner,73,1,14,Optimization,Continue,Same
S016,Optimization,Beginner,67,2,40,Optimization,Continue,Same
S016,Optimization,Beginner,89,3,48,Optimization,Continue,Increase
S016,Optimization,Intermediate,47,4,56,Optimization,Revision,Decrease
S016,Optimization,Beginner,87,4,46,Optimization,Continue,Increase
S016,Optimization,Intermediate,76,1,57,Optimization,Continue,Same
S016,Optimization,Intermediate,62,4,16,Optimization,Continue,Same
S016,Optimization,Intermediate,70,4,23,Optimization,Continue,Same
S017,Optimization,Beginner,15,1,35,Optimization,Revision,Same
S017,Optimization,Beginner,37,2,22,Optimization,Revision,Same
S017,Optimization,Beginner,42,1,59,Optimization,Revision,Same
S017,Optimization,Beginner,48,4,12,Optimization,Revision,Same
S017,Optimization,Beginner,19,2,24,Optimization,Revision,Same
S017,Optimization,Beginner,28,1,57,Optimization,Revision,Same
S017,Optimization,Beginner,70,4,26,Optimization,Continue,Same
S017,Optimization,Beginner,80,4,29,Optimization,Continue,Same
S017,Optimization,Beginner,85,1,15,Optimization,Continue,Increase
S017,Optimization,Intermediate,59,2,28,Optimization,Continue,Same
S017,Optimization,Intermediate,63,4,9,Optimization,Continue,Same
S017,Optimization,Intermediate,88,1,31,Optimization,Continue,Increase
S017,Optimization,Advanced,53,2,6,Optimization,Continue,Same
S017,Optimization,Advanced,33,3,57,Optimization,Revision,Decrease
S017,Optimization,Intermediate,73,4,56,Optimization,Continue,Same
S017,Optimization,Intermediate,69,3,40,Optimization,Continue,Same
S017,Optimization,Intermediate,61,3,48,Optimization,Continue,Same
S017,Optimization,Intermediate,66,4,40,Optimization,Continue,Same
S017,Optimization,Intermediate,95,3,21,Optimization,Continue,Increase
S017,Optimization,Advanced,37,3,27,Optimization,Revision,Decrease
S018,Optimization,Beginner,21,3,48,Optimization,Revision,Same
S018,Optimization,Beginner,38,1,19,Optimization,Revision,Same
S018,Optimization,Beginner,16,4,35,Optimization,Revision,Same
S018,Optimization,Beginner,45,1,48,Optimization,Revision,Same
S018,Optimization,Beginner,47,1,47,Optimization,Revision,Same
S018,Optimization,Beginner,67,2,23,Optimization,Continue,Same
S018,Optimization,Beginner,48,3,56,Optimization,Revision,Same
S018,Optimization,Beginner,49,4,51,Optimization,Revision,Same
S018,Optimization,Beginner,70,4,48,Optimization,Continue,Same
S018,Optimization,Beginner,78,4,17,Optimization,Continue,Same
S018,Optimization,Beginner,100,1,24,Optimization,Continue,Increase
S018,Optimization,Intermediate,25,1,58,Optimization,Revision,Decrease
S018,Optimization,Beginner,85,4,35,Optimization,Continue,Increase
S018,Optimization,Intermediate,48,3,14,Optimization,Revision,Decrease
S018,Optimization,Beginner,100,2,16,Optimization,Continue,Increase
S018,Optimization,Intermediate,60,3,7,Optimization,Continue,Same
S018,Optimization,Intermediate,78,4,43,Optimization,Continue,Same
S018,Optimization,Intermediate,58,4,22,Optimization,Continue,Same
S018,Optimization,Intermediate,68,4,26,Optimization,Continue,Same
S018,Optimization,Intermediate,87,4,54,Optimization,Continue,Increase
S019,Optimization,Beginner,25,4,60,Optimization,Revision,Same
S019,Optimization,Beginner,68,1,12,Optimization,Continue,Same
S019,Optimization,Beginner,67,1,32,Optimization,Continue,Same
S019,Optimization,Beginner,76,4,59,Optimization,Continue,Same
S019,Optimization,Beginner,39,3,13,Optimization,Revision,Same
S019,Optimization,Beginner,62,3,58,Optimization,Continue,Same
S019,Optimization,Beginner,69,3,23,Optimization,Continue,Same
S019,Optimization,Beginner,62,4,30,Optimization,Continue,Same
S019,Optimization,Beginner,79,3,17,Optimization,Continue,Same
S019,Optimization,Beginner,76,3,15,Optimization,Continue,Same
S019,Optimization,Beginner,71,3,8,Optimization,Continue,Same
S019,Optimization,Beginner,94,2,13,Optimization,Continue,Increase
S019,Optimization,Intermediate,46,1,47,Optimization,Revision,Decrease
S019,Optimization,Beginner,83,1,41,Optimization,Continue,Increase
S019,Optimization,Intermediate,52,3,51,Optimization,Continue,Same
S019,Optimization,Intermediate,77,4,54,Optimization,Continue,Same
S019,Optimization,Intermediate,70,4,23,Optimization,Continue,Same
S019,Optimization,Intermediate,74,4,52,Optimization,Continue,Same
S019,Optimization,Intermediate,87,3,55,Optimization,Continue,Increase
S019,Optimization,Advanced,70,1,14,Optimization,Continue,Same
S020,Optimization,Beginner,45,1,54,Optimization,Revision,Same
S020,Optimization,Beginner,30,2,40,Optimization,Revision,Same
S020,Optimization,Beginner,42,1,15,Optimization,Revision,Same
S020,Optimization,Beginner,47,1,52,Optimization,Revision,Same
S020,Optimization,Beginner,42,2,50,Optimization,Revision,Same
S020,Optimization,Beginner,46,1,24,Optimization,Revision,Same
S020,Optimization,Beginner,60,2,12,Optimization,Continue,Same
S020,Optimization,Beginner,54,4,56,Optimization,Continue,Same
S020,Optimization,Beginner,65,3,13,Optimization,Continue,Same
S020,Optimization,Beginner,100,4,37,Optimization,Continue,Increase
S020,Optimization,Intermediate,74,4,33,Optimization,Continue,Same
S020,Optimization,Intermediate,75,4,19,Optimization,Continue,Same
S020,Optimization,Intermediate,63,3,27,Optimization,Continue,Same
S020,Optimization,Intermediate,66,3,33,Optimization,Continue,Same
S020,Optimization,Intermediate,100,4,15,Optimization,Continue,Increase
S020,Optimization,Advanced,50,2,44,Optimization,Continue,Same
S020,Optimization,Advanced,51,4,54,Optimization,Continue,Same
S020,Optimization,Advanced,57,2,29,Optimization,Continue,Same
S020,Optimization,Advanced,47,2,31,Optimization,Revision,Decrease
S020,Optimization,Intermediate,67,4,35,Optimization,Continue,Same
S021,Optimization,Beginner,39,1,48,Optimization,Revision,Same
S021,Optimization,Beginner,34,2,35,Optimization,Revision,Same
S021,Optimization,Beginner,35,1,35,Optimization,Revision,Same
S021,Optimization,Beginner,64,1,39,Optimization,Continue,Same
S021,Optimization,Beginner,44,2,19,Optimization,Revision,Same
S021,Optimization,Beginner,34,1,24,Optimization,Revision,Same
S021,Optimization,Beginner,56,4,42,Optimization,Continue,Same
S021,Optimization,Beginner,61,2,28,Optimization,Continue,Same
S021,Optimization,Beginner,74,1,56,Optimization,Continue,Same
S021,Optimization,Beginner,88,1,11,Optimization,Continue,Increase
S021,Optimization,Intermediate,88,1,34,Optimization,Continue,Increase
S021,Optimization,Advanced,39,2,14,Optimization,Revision,Decrease
S021,Optimization,Intermediate,57,2,27,Optimization,Continue,Same
S021,Optimization,Intermediate,72,1,48,Optimization,Continue,Same
S021,Optimization,Intermediate,50,1,5,Optimization,Continue,Same
S021,Optimization,Intermediate,73,4,54,Optimization,Continue,Same
S021,Optimization,Intermediate,59,2,36,Optimization,Continue,Same
S021,Optimization,Intermediate,67,4,41,Optimization,Continue,Same
S021,Optimization,Intermediate,85,2,60,Optimization,Continue,Increase
